s_over_gap,cement_fraction
0.0384615,0.307487
0.115385,0.994732
0.192308,0.994456
0.269231,0.991398
0.346154,0.991387
0.423077,0.991387
0.5,0.991387
0.576923,0.991387
0.653846,0.991387
0.730769,0.991398
0.807692,0.994529
0.884615,0.994673
0.961538,0.270591
