s_over_gap,cement_fraction
0.0384615,0.547659
0.115385,0.99567
0.192308,0.994547
0.269231,0.995182
0.346154,0.9961
0.423077,0.996895
0.5,0.997561
0.576923,0.99812
0.653846,0.998304
0.730769,0.99804
0.807692,0.997626
0.884615,0.996435
0.961538,0.611806
