s_over_gap,cement_fraction
0.0384615,0.810988
0.115385,0.998125
0.192308,0.997908
0.269231,0.997897
0.346154,0.997897
0.423077,0.997897
0.5,0.997897
0.576923,0.997897
0.653846,0.997897
0.730769,0.997897
0.807692,0.997908
0.884615,0.998114
0.961538,0.784236
