s_over_gap,cement_fraction
0.0384615,1.73209e-05
0.115385,0.934176
0.192308,0.991493
0.269231,0.995974
0.346154,0.997308
0.423077,0.997744
0.5,0.997846
0.576923,0.997742
0.653846,0.997301
0.730769,0.995954
0.807692,0.991415
0.884615,0.932018
0.961538,1.09994e-05
