s_over_gap,cement_fraction
0.0384615,0.275135
0.115385,0.976837
0.192308,0.996678
0.269231,0.998571
0.346154,0.990311
0.423077,0.97958
0.5,0.972967
0.576923,0.970519
0.653846,0.972207
0.730769,0.979487
0.807692,0.994856
0.884615,0.969636
0.961538,0.142145
