depth_m,arrival_f0.1_s,arrival_f0.5_s,arrival_f0.9_s,arrival_volumetric_s,arrival_in_gauge_s,front_envelope_s,front_rise_velocity_m_per_min
332.966,345.883,426.97,732.841,476.746,433.73,426.97,15.8529
333.812,341.52,420.767,726.795,472.331,431.792,420.767,20.3408
334.659,338.362,418.685,724.145,467.632,429.854,418.685,58.5767
335.506,337.031,417.964,723.077,465.489,427.916,417.964,59.1255
336.353,335.182,415.509,720.636,463.302,425.978,415.509,21.0451
337.201,333.39,413.132,718.281,461.188,424.04,413.132,21.5686
338.048,331.592,410.796,715.963,459.041,422.102,410.796,22.4146
338.894,329.883,408.59,713.774,456.987,420.164,408.59,22.867
339.741,328.191,406.35,711.571,454.994,418.226,406.35,22.6727
340.588,326.499,404.107,709.377,453.009,416.288,404.107,23.1155
341.436,324.862,401.95,707.273,451.091,414.35,401.95,22.92
342.283,323.181,399.665,705.047,449.2,412.412,399.665,22.2946
343.13,321.422,397.391,702.826,447.146,410.474,397.391,24.8161
343.976,319.91,395.499,700.954,445.355,408.536,395.499,25.318
344.823,318.293,393.342,698.854,443.557,406.598,393.342,22.5392
345.67,316.512,390.97,696.55,441.606,404.66,390.97,19.9557
346.518,314.478,388.181,693.872,439.488,402.722,388.181,15.734
347.365,311.486,383.921,689.863,436.551,400.784,383.921,9.93215
348.212,304.983,375.279,681.619,429.376,398.846,375.279,6.55506
349.058,299.252,368.134,674.655,422.785,396.908,368.134,6.78087
349.905,292.053,360.209,666.481,413.349,394.97,360.209,31.6551
350.752,289.61,358.803,664.393,409.627,393.032,358.803,41.6513
351.6,288.225,357.698,663.067,407.634,391.094,357.698,39.4677
352.447,286.783,355.957,661.332,405.882,389.156,355.957,28.5979
353.293,285.36,354.14,659.557,404.234,387.218,354.14,24.8746
354.14,283.699,351.685,657.283,402.522,385.28,351.685,17.3822
354.987,280.593,347.195,653.122,399.364,383.342,347.195,10.2482
355.834,276.06,341.475,647.558,393.948,381.404,341.475,17.9261
356.682,273.693,339.126,645.033,390.905,379.466,339.126,20.3697
357.529,271.287,336.44,642.314,387.875,377.528,336.44,25.1546
358.375,269.692,334.699,640.535,385.79,375.59,334.699,26.9664
359.222,268.072,332.607,638.556,383.893,373.652,332.607,22.7154
360.069,266.363,330.174,636.337,382.054,371.714,330.174,19.0218
360.917,264.083,327.128,633.485,379.531,369.776,327.128,22.0487
361.764,262.333,325.139,631.537,377.363,367.838,325.139,25.6679
362.611,260.856,323.168,629.72,375.724,365.9,323.168,22.1468
363.457,258.749,320.077,626.981,373.644,363.962,320.077,13.6488
364.304,252.638,311.678,619.175,366.609,362.024,311.678,46.8631
365.151,250.558,310.694,617.67,363.202,360.086,310.694,243.027
365.999,250.108,310.512,617.421,362.384,358.148,310.512,231.041
366.846,249.682,310.025,616.947,361.797,356.21,310.025,87.7787
367.692,249.1,309.141,616.163,361.175,354.272,309.141,51.0177
368.539,248.313,307.937,615.069,360.364,352.334,307.937,35.03
369.386,246.548,305.309,612.722,358.477,350.396,305.309,29.3648
370.233,245.42,303.853,611.395,357.088,348.458,303.853,32.3226
371.081,244.214,302.114,609.852,355.766,346.52,302.114,30.8109
371.928,243.017,300.538,608.443,354.314,344.582,300.538,46.6155
372.774,242.308,299.615,607.621,353.451,342.644,299.615,48.9365
373.621,241.453,298.366,606.509,352.545,340.706,298.366,37.409
374.468,240.353,296.845,605.15,351.419,338.768,296.845,29.8227
375.316,233.31,286.238,595.689,343.523,336.83,286.238,5.39198
376.163,226.896,277.597,587.695,335.353,334.892,277.597,10.5032
377.01,223.457,273.58,583.843,330.607,332.954,273.58,22.5633
377.856,222.055,271.71,582.16,328.894,331.016,271.71,23.5961
378.703,220.101,268.929,579.703,326.699,329.078,268.929,26.1899
379.55,218.841,267.283,578.245,325.156,327.14,267.283,37.1078
380.398,217.951,266.065,577.156,324.193,325.202,266.065,37.4704
381.245,216.798,264.472,575.708,323.022,323.264,264.472,29.034
382.091,215.313,262.473,573.888,321.523,321.326,262.473,25.0686
382.938,213.727,260.416,572.006,319.909,319.388,260.416,27.0727
383.785,212.327,258.668,570.391,318.541,317.45,258.668,28.0764
384.632,210.781,256.786,568.63,317.081,315.512,256.786,23.587
385.48,208.5,254.061,566.075,314.914,313.574,254.061,19.4504
386.327,206.276,251.544,563.684,312.855,311.636,251.544,20.1899
